Unnamed: 0,Send a message or record audio to get a reply from Mistral,Mistakes Count,Is Correct
,"Hello, what can you do for me?",0.0,False
,Send a message or record audio to get a reply from Mistral,0.0,False
,What can you do for me?,0.0,False
,Send a message or record audio to get a reply from Mistral,0.0,False
,What can you do for me?,0.0,False
,I am interested in Data science role entry level.,0.0,False
,Send a message or record audio to get a reply from Mistral,0.0,False
,What can you do for me?,0.0,False
,I am interested in Data science role entry level.,0.0,False
,I have done various projects in as well.,0.0,False
,Send a message or record audio to get a reply from Mistral,0.0,False
,What can you do for me?,0.0,False
,I am interested in Data science role entry level.,0.0,False
,I have done various projects in as well.,0.0,False
,Like I have a great interest in data structures and algorithms use. You can ask questions me from there.,0.0,False
,Send a message or record audio to get a reply from Mistral,0.0,False
,What can you do for me?,0.0,False
,I am interested in Data science role entry level.,0.0,False
,I have done various projects in as well.,0.0,False
,Like I have a great interest in data structures and algorithms use. You can ask questions me from there.,0.0,False
,Researchers are searching algorithm.,0.0,False
